Block,Road,NumRelease,address,location
201,YISHUN STREET 21,10,201+YISHUN+STREET+21,"1.4307489,103.8378901"
202,YISHUN STREET 21,10,202+YISHUN+STREET+21,"1.4307641,103.8372645"
203,YISHUN STREET 21,10,203+YISHUN+STREET+21,"1.4307836,103.8363356"
204,YISHUN STREET 21,10,204+YISHUN+STREET+21,"1.4306109,103.836163"
205,YISHUN STREET 21,10,205+YISHUN+STREET+21,"1.4311456,103.8361002"
206,YISHUN STREET 21,2,206+YISHUN+STREET+21,"1.4312278,103.8367514"
207,YISHUN STREET 21,2,207+YISHUN+STREET+21,"1.431274,103.837047"
208,YISHUN STREET 21,10,208+YISHUN+STREET+21,"1.4309044,103.8376046"
209,YISHUN STREET 21,8,209+YISHUN+STREET+21,"1.43148,103.8377984"
210,YISHUN STREET 21,10,210+YISHUN+STREET+21,"1.4313397,103.8384973"
211,YISHUN STREET 21,10,211+YISHUN+STREET+21,"1.4317523,103.8380983"
212,YISHUN STREET 21,8,212+YISHUN+STREET+21,"1.431806,103.837363"
213,YISHUN STREET 21,8,213+YISHUN+STREET+21,"1.431851,103.836331"
214,YISHUN STREET 21,10,214+YISHUN+STREET+21,"1.43153,103.836136"
215,YISHUN STREET 21,10,215+YISHUN+STREET+21,"1.4317299,103.8356351"
216,YISHUN STREET 21,14,216+YISHUN+STREET+21,"1.432351,103.836249"
217,YISHUN STREET 21,10,217+YISHUN+STREET+21,"1.432693,103.836157"
218,YISHUN STREET 21,10,218+YISHUN+STREET+21,"1.433043,103.836044"
219,YISHUN STREET 21,10,219+YISHUN+STREET+21,"1.433338,103.83597"
220,YISHUN STREET 21,10,220+YISHUN+STREET+21,"1.4333493,103.8352334"
221,YISHUN STREET 21,12,221+YISHUN+STREET+21,"1.4340405,103.8363799"
222,YISHUN STREET 21,10,222+YISHUN+STREET+21,"1.4341235,103.8356352"
223,YISHUN STREET 21,10,223+YISHUN+STREET+21,"1.43446,103.83573"
224,YISHUN STREET 21,10,224+YISHUN+STREET+21,"1.4346738,103.8351369"
225,YISHUN STREET 21,10,225+YISHUN+STREET+21,"1.43487,103.83578"
226,YISHUN STREET 21,2,226+YISHUN+STREET+21,"1.4344785,103.8361132"
227,YISHUN STREET 21,10,227+YISHUN+STREET+21,"1.435152,103.836505"
228,YISHUN STREET 21,10,228+YISHUN+STREET+21,"1.4353956,103.8375364"
229,YISHUN STREET 21,8,229+YISHUN+STREET+21,"1.434889,103.836926"
230,YISHUN STREET 21,2,230+YISHUN+STREET+21,"1.4346557,103.8365966"
231,YISHUN STREET 21,8,231+YISHUN+STREET+21,"1.4341706,103.8370155"
232,YISHUN STREET 21,10,232+YISHUN+STREET+21,"1.434254,103.8371287"
233,YISHUN STREET 21,2,233+YISHUN+STREET+21,"1.4350013,103.8381557"
234,YISHUN STREET 21,18,234+YISHUN+STREET+21,"1.4344091,103.8376494"
235,YISHUN STREET 21,10,235+YISHUN+STREET+21,"1.4345403,103.8385407"
236,YISHUN RING ROAD,14,236+YISHUN+RING+ROAD,"1.4341163,103.8388803"
237,YISHUN RING ROAD,10,237+YISHUN+RING+ROAD,"1.4333825,103.8388803"
238,YISHUN RING ROAD,8,238+YISHUN+RING+ROAD,"1.4332785,103.8392453"
239,YISHUN RING ROAD,4,239+YISHUN+RING+ROAD,"1.4337854,103.8396007"
240,YISHUN RING ROAD,10,240+YISHUN+RING+ROAD,"1.4326547,103.8394914"
241,YISHUN RING ROAD,12,241+YISHUN+RING+ROAD,"1.4321146,103.83922"
242,YISHUN RING ROAD,16,242+YISHUN+RING+ROAD,"1.4329338,103.840239"
243,YISHUN RING ROAD,14,243+YISHUN+RING+ROAD,"1.4335181,103.8406919"
244,YISHUN RING ROAD,8,244+YISHUN+RING+ROAD,"1.433955,103.8412354"
245,YISHUN AVENUE 9,8,245+YISHUN+AVENUE+9,"1.4344135,103.8421547"
246,YISHUN AVENUE 9,8,246+YISHUN+AVENUE+9,"1.435048,103.8424393"
247,YISHUN AVENUE 9,10,247+YISHUN+AVENUE+9,"1.4349957,103.842028"
248,YISHUN AVENUE 9,2,248+YISHUN+AVENUE+9,"1.435696,103.8423094"
249,YISHUN AVENUE 9,10,249+YISHUN+AVENUE+9,"1.4351991,103.8417789"
250,YISHUN AVENUE 9,10,250+YISHUN+AVENUE+9,"1.4355122,103.8415751"
251,YISHUN RING ROAD,2,251+YISHUN+RING+ROAD,"1.434803,103.841373"
252,YISHUN RING ROAD,2,252+YISHUN+RING+ROAD,"1.434706,103.841046"
253,YISHUN RING ROAD,12,253+YISHUN+RING+ROAD,"1.4349683,103.8405334"
254,YISHUN RING ROAD,10,254+YISHUN+RING+ROAD,"1.4346014,103.8405334"
255,YISHUN RING ROAD,10,255+YISHUN+RING+ROAD,"1.4343073,103.840624"
256,YISHUN RING ROAD,2,256+YISHUN+RING+ROAD,"1.4340362,103.8399673"
257,YISHUN RING ROAD,20,257+YISHUN+RING+ROAD,"1.4345711,103.8394917"
258,YISHUN STREET 22,2,258+YISHUN+STREET+22,"1.4351175,103.8397964"
259,YISHUN STREET 22,8,259+YISHUN+STREET+22,"1.4351868,103.8391565"
260,YISHUN STREET 22,10,260+YISHUN+STREET+22,"1.4355185,103.8392132"
261,YISHUN STREET 22,2,261+YISHUN+STREET+22,"1.4353817,103.8385457"
262,YISHUN STREET 22,10,262+YISHUN+STREET+22,"1.4358023,103.8391521"
263,YISHUN STREET 22,10,263+YISHUN+STREET+22,"1.4361929,103.8390278"
264,YISHUN STREET 22,10,264+YISHUN+STREET+22,"1.4355878,103.8382463"
269A,YISHUN STREET 22,18,269A+YISHUN+STREET+22,"1.4368285,103.8409733"
269B,YISHUN STREET 22,18,269B+YISHUN+STREET+22,"1.4364804,103.8412293"
291,YISHUN STREET 22,6,291+YISHUN+STREET+22,"1.4359653,103.8365253"
292,YISHUN STREET 22,6,292+YISHUN+STREET+22,"1.4370249,103.8372726"
293,YISHUN STREET 22,6,293+YISHUN+STREET+22,"1.4363967,103.8379745"
296,YISHUN STREET 20,12,296+YISHUN+STREET+20,"1.4353741,103.8354275"
297,YISHUN STREET 20,8,297+YISHUN+STREET+20,"1.4359296,103.8352515"
298,YISHUN STREET 20,8,298+YISHUN+STREET+20,"1.4361319,103.8346631"
299,YISHUN STREET 20,8,299+YISHUN+STREET+20,"1.436381,103.834464"
302,YISHUN CENTRAL,10,302+YISHUN+CENTRAL,"1.4302229,103.839605"
303,YISHUN CENTRAL,10,303+YISHUN+CENTRAL,"1.4303668,103.8400579"
304,YISHUN CENTRAL,10,304+YISHUN+CENTRAL,"1.4305301,103.8403523"
305,YISHUN CENTRAL,10,305+YISHUN+CENTRAL,"1.4311778,103.8394238"
306,YISHUN CENTRAL,8,306+YISHUN+CENTRAL,"1.4312467,103.8401485"
308,YISHUN RING ROAD,8,308+YISHUN+RING+ROAD,"1.4313361,103.8405334"
309,YISHUN RING ROAD,11,309+YISHUN+RING+ROAD,"1.4323407,103.8412354"
310,YISHUN RING ROAD,6,310+YISHUN+RING+ROAD,"1.4320386,103.841355"
311,YISHUN RING ROAD,12,311+YISHUN+RING+ROAD,"1.4314061,103.8410769"
312,YISHUN RING ROAD,12,312+YISHUN+RING+ROAD,"1.431533,103.841326"
314,YISHUN RING ROAD,8,314+YISHUN+RING+ROAD,"1.431724,103.8417194"
